id,answer
0,181
1,184
2,150
3,168
4,154
5,187
6,159
7,169
8,176
9,152
10,174
11,181
12,173
13,162
14,159
15,153
16,165
17,169
18,176
19,162
20,172
21,159
22,188
23,172
24,171
25,187
26,159
27,157
28,164
29,174
30,161
31,155
32,185
33,164
34,168
35,154
36,151
37,155
38,171
39,185
40,181
41,180
42,164
43,175
44,154
45,181
46,158
47,159
48,177
49,184
50,186
51,181
52,159
53,184
54,170
55,186
56,180
57,186
58,171
59,160
60,180
61,154
62,175
63,179
64,165
65,170
66,184
67,176
68,167
69,161
70,167
71,164
72,154
73,152
74,179
75,179
76,168
77,152
78,157
79,184
80,184
81,159
82,168
83,151
84,162
85,163
86,181
87,154
88,153
89,172
90,158
91,163
92,154
93,153
94,159
95,174
96,152
97,172
98,155
99,168
100,183
101,162
102,160
103,175
104,153
105,182
106,163
107,151
108,179
109,154
110,173
111,183
112,164
113,156
114,159
115,151
116,155
117,167
118,170
119,168
120,180
121,174
122,173
123,183
124,172
125,181
126,185
127,185
128,162
129,175
130,150
131,156
132,159
133,154
134,183
135,184
136,159
137,186
138,182
139,152
140,171
141,150
142,166
143,162
144,156
145,180
146,162
147,154
148,175
149,150
150,153
151,180
152,158
153,155
154,172
155,164
156,183
157,188
158,166
159,154
160,184
161,164
162,184
163,152
164,172
165,177
166,178
167,151
168,150
169,162
170,179
171,181
172,184
173,160
174,171
175,184
176,169
177,156
178,172
179,177
180,167
181,174
182,176
183,171
184,172
185,173
186,153
187,182
188,155
189,181
190,159
191,177
192,153
193,152
194,178
195,160
196,186
197,162
198,158
199,185
200,175
201,151
202,178
203,155
204,153
205,157
206,150
207,162
208,171
209,188
210,158
211,171
212,157
213,166
214,186
215,175
216,172
217,187
218,174
219,159
220,150
221,170
222,174
223,160
224,153
225,153
226,184
227,161
228,181
229,178
230,166
231,168
232,186
233,172
234,165
235,163
236,172
237,159
238,188
239,160
240,159
241,159
242,188
243,172
244,150
245,187
246,174
247,164
248,181
249,170
250,164
251,153
252,180
253,171
254,158
255,162
256,174
257,154
258,178
259,151
260,179
261,171
262,158
263,169
264,173
265,158
266,181
267,168
268,188
269,153
270,159
271,162
272,181
273,169
274,179
275,154
276,183
277,168
278,165
279,158
280,163
281,167
282,179
283,183
284,171
285,164
286,163
287,172
288,183
289,166
290,177
291,185
292,164
293,187
294,152
295,180
296,167
297,185
298,174
299,161
300,184
301,184
302,159
303,163
304,183
305,170
306,170
307,177
308,176
309,169
310,170
311,181
312,172
313,153
314,184
315,168
316,159
317,188
318,168
319,179
320,183
321,163
322,182
323,184
324,184
325,153
326,157
327,159
328,157
329,185
330,161
331,182
332,184
333,168
334,164
335,175
336,179
337,156
338,168
339,172
340,166
341,185
342,152
343,150
344,173
345,151
346,172
347,185
348,164
349,168
350,151
351,166
352,172
353,183
354,188
355,151
356,171
357,162
358,181
359,159
360,184
361,164
362,168
363,184
364,170
365,160
366,184
367,170
368,173
369,151
370,165
371,168
372,185
373,157
374,163
375,171
376,174
377,151
378,154
379,177
380,151
381,151
382,182
383,170
384,159
385,158
386,171
387,174
388,169
389,160
390,170
391,153
392,184
393,171
394,160
395,154
396,160
397,162
398,158
399,169
400,174
401,157
402,184
403,180
404,158
405,188
406,159
407,153
408,182
409,164
410,154
411,181
412,163
413,185
414,174
415,151
416,174
417,177
418,168
419,159
420,168
421,151
422,166
423,151
424,153
425,188
426,181
427,167
428,159
429,166
430,185
431,160
432,169
433,160
434,163
435,172
436,167
437,184
438,161
439,180
440,165
441,161
442,158
443,159
444,170
445,172
446,179
447,157
448,164
449,160
450,166
451,179
452,163
453,165
454,158
